Delay,Size,Concurrency,Average Latency (s),Requests/sec
1700,1000,600,1.7239,344.4528
1700,1000,700,1.7465,394.5482
1700,1000,800,1.7458,451.3508
1700,1000,900,1.7591,504.1121
1700,1000,1000,1.7722,553.9941
1700,1000,1100,1.7570,613.8367
1700,1000,1200,1.7841,660.3546
1700,1000,1300,1.7850,715.8547
1700,1000,1400,1.7712,780.6148
1700,1000,1500,1.7924,822.3639
1800,0,100,1.8019,68.4616
1800,0,200,1.8020,110.9781
1800,0,300,1.8022,166.3932
1800,0,400,1.8031,221.7122
1800,0,500,1.8039,276.8769
1800,0,600,1.8035,332.1525
1800,0,700,1.8043,387.3564
1800,0,800,1.8068,441.7801
1800,0,900,1.8088,496.8265
1800,0,1000,1.8073,551.6910
1800,0,1100,1.8103,605.1399
1800,0,1200,1.8105,658.8796
1800,0,1300,1.8134,713.5955
1800,0,1400,1.8144,768.1044
1800,0,1500,1.8188,819.3672
1800,500,100,1.8046,72.8510
1800,500,200,1.8053,110.7037
1800,500,300,1.8059,165.9319
1800,500,400,1.8080,220.8114
1800,500,500,1.8098,275.2531
1800,500,600,1.8153,328.5654
1800,500,700,1.8179,382.2918
